iter	Passed	Remaining
664	1275	642
665	1277	640
666	1278	638
667	1280	636
668	1281	634
669	1283	632
670	1284	629
671	1287	628
672	1288	626
673	1290	624
674	1291	621
675	1292	619
676	1293	617
677	1294	614
678	1296	612
679	1297	610
680	1298	608
681	1300	606
682	1301	603
683	1303	602
684	1304	599
685	1305	597
686	1306	595
687	1307	593
688	1309	590
689	1310	588
690	1311	586
691	1312	584
692	1314	582
693	1315	579
694	1316	577
695	1318	575
696	1319	573
697	1320	571
698	1321	569
699	1323	567
700	1324	564
701	1325	562
702	1326	560
703	1327	557
704	1328	555
705	1329	553
706	1330	551
707	1331	549
708	1332	546
709	1333	544
710	1334	542
711	1336	540
712	1337	538
713	1338	536
714	1340	534
715	1342	532
716	1343	530
717	1344	528
718	1345	525
719	1346	523
720	1348	521
721	1349	519
722	1350	517
723	1351	515
724	1352	513
725	1353	510
726	1355	508
727	1356	506
728	1357	504
729	1358	502
730	1359	500
731	1361	498
732	1362	496
733	1363	494
734	1364	492
735	1366	490
736	1367	487
737	1368	485
738	1369	483
739	1371	481
740	1372	479
741	1373	477
742	1375	475
743	1377	473
744	1378	471
745	1379	469
746	1380	467
747	1382	465
748	1383	463
749	1384	461
750	1385	459
751	1386	457
752	1387	455
753	1389	453
754	1390	451
755	1391	449
756	1392	447
757	1393	444
758	1394	442
759	1396	440
760	1397	439
761	1399	436
762	1400	434
763	1401	432
764	1402	430
765	1404	428
766	1405	426
767	1406	424
768	1408	423
769	1409	421
770	1410	419
771	1412	417
772	1413	415
773	1414	412
774	1415	411
775	1416	409
776	1418	407
777	1419	405
778	1420	403
779	1421	401
780	1422	398
781	1423	396
782	1425	394
783	1426	392
784	1427	390
785	1428	388
786	1429	386
787	1430	384
788	1431	382
789	1432	380
790	1433	378
791	1434	376
792	1435	374
793	1437	372
794	1438	370
795	1439	368
796	1440	366
797	1441	364
798	1442	362
799	1443	360
800	1444	358
801	1445	356
802	1446	354
803	1447	352
804	1448	350
805	1449	348
806	1451	347
807	1453	345
808	1454	343
809	1456	341
810	1457	339
811	1458	337
812	1459	335
813	1460	333
814	1461	331
815	1462	329
816	1463	327
817	1464	325
818	1465	323
819	1466	321
820	1467	319
821	1468	317
822	1469	316
823	1470	314
824	1471	312
825	1472	310
826	1473	308
827	1474	306
828	1476	304
829	1477	302
830	1478	300
831	1479	298
832	1480	296
833	1481	294
834	1482	292
835	1483	291
836	1484	289
837	1485	287
838	1487	285
839	1488	283
840	1489	281
841	1490	279
842	1491	277
843	1492	275
844	1493	274
845	1494	272
846	1496	270
847	1497	268
848	1498	266
849	1499	264
850	1500	262
851	1502	260
852	1503	259
853	1504	257
854	1505	255
855	1506	253
856	1507	251
857	1508	249
858	1509	247
859	1510	245
860	1511	244
861	1512	242
862	1513	240
863	1514	238
864	1515	236
865	1516	234
866	1517	232
867	1518	230
868	1519	229
869	1520	227
870	1521	225
871	1522	223
872	1523	221
873	1524	219
874	1525	217
875	1526	216
876	1528	214
877	1529	212
878	1530	210
879	1531	208
880	1532	206
881	1533	205
882	1534	203
883	1535	201
884	1538	199
885	1540	198
886	1542	196
887	1543	194
888	1545	192
889	1546	191
890	1547	189
891	1548	187
892	1549	185
893	1550	183
894	1551	182
895	1552	180
896	1553	178
897	1554	176
898	1555	174
899	1556	172
900	1557	171
901	1559	169
902	1560	167
903	1560	165
904	1562	163
905	1563	162
906	1564	160
907	1565	158
908	1566	156
909	1567	155
910	1568	153
911	1569	151
912	1570	149
913	1572	147
914	1575	146
915	1576	144
916	1577	142
917	1579	141
918	1580	139
919	1581	137
920	1582	135
921	1584	134
922	1585	132
923	1586	130
924	1587	128
925	1589	126
926	1590	125
927	1591	123
928	1592	121
929	1593	119
930	1594	118
931	1595	116
932	1596	114
933	1597	112
934	1598	111
935	1599	109
936	1600	107
937	1601	105
938	1602	104
939	1604	102
940	1605	100
941	1606	98
942	1607	97
943	1608	95
944	1609	93
945	1610	91
946	1611	90
947	1612	88
948	1613	86
949	1614	84
950	1615	83
951	1616	81
952	1617	79
953	1617	78
954	1619	76
955	1620	74
956	1621	72
957	1622	71
958	1623	69
959	1624	67
960	1625	65
961	1626	64
962	1627	62
963	1628	60
964	1629	59
965	1630	57
966	1632	55
967	1633	53
968	1634	52
969	1635	50
970	1636	48
971	1637	47
972	1638	45
973	1640	43
974	1641	42
975	1642	40
976	1643	38
977	1644	37
978	1646	35
979	1647	33
980	1648	31
981	1649	30
982	1650	28
983	1651	26
984	1652	25
985	1653	23
986	1654	21
987	1655	20
988	1656	18
989	1657	16
990	1658	15
991	1659	13
992	1660	11
993	1661	10
994	1664	8
995	1665	6
996	1666	5
997	1667	3
998	1668	1
999	1669	0
